rank,opportunity_score,query,category,source_name,title,price,query_median_price,query_min_price,query_offer_count,query_source_count,price_gap_to_median_pct,demand_proxy,confidence,item_url,image_url,fetched_at
32,76.42,teclado mecanico,teclado,kabum,"Cabo HP VGA SVGA, 2 Metros, Preto, DHC-VG100 - 194U0AA",25.87,169.99,16.03,93,6,0.8478,5.00,0.95,https://www.kabum.com.br/produto/354014/cabo-hp-vga-svga-2-metros-preto-dhc-vg100-194u0aa,https://images.kabum.com.br/produtos/fotos/354014/cabo-vga-svga-hp-2m-preto-194u0aa_1655928447_m.jpg,2026-05-01 13:17:28.267 -0300
33,75.78,mouse sem fio,mouse,amazon,Mouse Sem Fio Recarregavel 2.4g Wireless USB para Notebook Desktop TV (PRETO),15.76,60.34,5.49,91,6,0.7388,1600.00,0.90,https://www.amazon.com.br/dp/B0C5148YPG,https://m.media-amazon.com/images/I/411GIiFHTML._AC_UL320_.jpg,2026-05-02 04:13:04.609 -0300
34,75.14,teclado mecanico,mousepad,kabum,"Mousepad Gamer Rise Mode Black Mode, Speed, Estendido (900x300mm) - RG-MP-06-FBK",28.99,169.99,16.03,93,6,0.8295,5.00,0.95,https://www.kabum.com.br/produto/111142/mousepad-gamer-rise-mode-black-mode-speed-estendido-900x300mm-rg-mp-06-fbk,https://images.kabum.com.br/produtos/fotos/111142/mousepad-gamer-rise-mode-black-mode-speed-estendido-900x300mm-rg-mp-06-fbk_1584561621_m.jpg,2026-05-01 13:17:28.267 -0300
35,75.01,webcam,webcam,amazon,"Top 1 Webcam Premium Full HD 1080p com Microfone, USB Plug & Play, Foco Automático – Para PC, Notebook, Zoom, Teams, Meet Skype YouTube Discord e Mais – Ideal para Home Office Reuniões e Videochamadas",36.90,139.99,9.81,83,4,0.7364,1000.00,0.90,https://www.amazon.com.br/dp/B0FLZ2T78C,https://m.media-amazon.com/images/I/41lOf8TUOgL._AC_UL320_.jpg,2026-05-01 13:16:47.966 -0300
36,74.92,headset gamer,headset_fone,shopee,Fone de Ouvido Gamer Fone Gamer Headset Com LED de Alta Qualidade,35.00,151.48,9.80,76,5,0.7689,286.00,0.75,https://shopee.com.br/Fone-de-Ouvido-Gamer-Fone-Gamer-Headset-Com-LED-de-Alta-Qualidade-i.1253500963.22793695398,https://down-br.img.susercontent.com/file/sg-11134201-7reo7-m8ntizce16392c,2026-05-01 13:12:32.484 -0300
37,74.51,mouse sem fio,mouse,terabyte,Combo Mouse e Teclado Dr. Office SDR-0302-G Sem Fio,8.83,60.34,5.49,91,6,0.8537,0.00,0.95,https://www.terabyteshop.com.br/produto/23683/combo-mouse-e-teclado-dr-office-sdr-0302-g-sem-fio-usb-cinza-metalico,https://img.terabyteshop.com.br/produto/m/combo-mouse-e-teclado-dr-office-sdr-0302-g-sem-fio-usb-cinza-metalico_161304.png,2026-05-02 12:56:19.596 -0300
38,74.49,cabo usb c,cabo,shopee,"Cabo Carregador Turbo Rápido Reforçado V8 / Tipo C / iPhone 1M, 2M LIGHTINING Kaidi Lehmox",7.99,28.30,7.99,56,5,0.7177,3294.00,0.75,https://shopee.com.br/Cabo-Carregador-Turbo-R%C3%A1pido-Refor%C3%A7ado-V8-Tipo-C-iPhone-1M-2M-LIGHTINING-Kaidi-Lehmox-i.1166403529.23892646466,https://down-br.img.susercontent.com/file/br-11134207-7r98o-m1h14ko8zmq9f3,2026-05-01 13:14:11.507 -0300
39,74.43,fone bluetooth,headset_fone,amazon,"Fones de Ouvido Sem Fio Bluetooth 5.4 Compatível com Todo Celular Cancelamento Ruído Bateria 16 Horas, Conecta com Notebook-Branco",19.99,149.45,19.90,70,3,0.8662,3.00,0.90,https://www.amazon.com.br/dp/B0GWLY8HCX,https://m.media-amazon.com/images/I/51QgHifEYEL._AC_UL320_.jpg,2026-05-02 04:13:56.828 -0300
40,74.24,webcam,webcam,kabum,"Webcam Logitech C270 HD, 720p, Microfone Integrado, USB 2.0 com 3MP - Cinza/Preta",25.66,139.99,9.81,83,4,0.8167,5.00,0.95,https://www.kabum.com.br/produto/677167/webcam-logitech-c270-hd-720p-microfone-integrado-usb-2-0-com-3mp-cinza-preta,https://images.kabum.com.br/produtos/fotos/sync_mirakl/677167/medium/Webcam-Logitech-C270-HD-720p-Microfone-Integrado-USB-2-0-com-3MP-Cinza-Preta_1766099019.png,2026-05-01 13:18:36.411 -0300
41,74.23,mouse gamer,mouse,shopee,"Mouse Gamer Laser X7 3200dpi Led Rgb Usb 7 Botões Profissional Original R$ 16,88 -32% 4.8 São Paulo Encontrar itens similares",16.88,124.10,6.99,94,6,0.8640,0.00,0.75,https://shopee.com.br/Mouse-Gamer-Laser-X7-3200dpi-Led-Rgb-Usb-7-Bot%C3%B5es-Profissional-Original-i.362859393.10107166150,https://down-br.img.susercontent.com/file/br-11134207-7r98o-lynbsjjqfvola8,2026-05-01 10:34:35.881 -0300
42,74.20,teclado gamer,mouse,shopee,Kit Teclado Mouse Gamer KEEDI-TEC800 Membrana LED USB Preto,43.90,174.98,43.90,91,5,0.7491,482.00,0.75,https://shopee.com.br/Kit-Teclado-Mouse-Gamer-KEEDI-TEC800-Membrana-LED-USB-Preto-i.376716003.22592917677,https://down-br.img.susercontent.com/file/sg-11134201-7rbka-m62wr8amn72874,2026-05-01 13:11:44.795 -0300
43,74.10,mouse sem fio,mouse,amazon,Mouse Sem Fio Recarregável Wireless Bluetooth Optico Led Rgb Colorido Ergonômico Usb 2.4 Ghz Notebook Computador Pc Desktop Linha Premium,17.40,60.34,5.49,91,6,0.7116,1900.00,0.90,https://www.amazon.com.br/dp/B0CX4CYHVV,https://m.media-amazon.com/images/I/41X8XelsCqL._AC_UL320_.jpg,2026-05-02 18:03:41.433 -0300
