product_id,product_name,product_name_key,domain_id,category,status,brand,line,model,gtin,main_color,first_image_url,queries,query_count,fetched_date,fetched_at,source_file
MLB41446678,Kit-2 Carregador Usb C 1hora Pd20w + Cabo Usb C 1 Metro,kit 2 carregador usb c 1hora pd20w cabo usb c 1 metro,MLB-MOBILE_DEVICE_CHARGERS,cabo,active,1Hora,,GAR153B,7905081253600,Branco,https://http2.mlstatic.com/D_NQ_NP_611143-MLA99988203327_112025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB39024883,"Carregador USB C Lenovo 20v 2.25a 45w, cabo USB-c +",carregador usb c lenovo 20v 2 25a 45w cabo usb c,MLB-LAPTOP_CHARGERS,cabo,active,2Power,,ADLX45YLC2A,709202988658,Preto,https://http2.mlstatic.com/D_NQ_NP_947509-MLU78193522419_082024-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB50792273,"Carregador USB C Sharp de 45 W, 2 portas (USB A+c), carregamento rápido",carregador usb c sharp 45 w 2 portas usb c carregamento rapido,MLB-PDA_CHARGERS,cabo,active,Sharp,,Sharp,49353011394,,https://http2.mlstatic.com/D_NQ_NP_693991-MLA85490506151_052025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB39060603,Base Notebook Cooler Pad 1cooler A-cp03,base notebook cooler pad 1cooler cp03,MLB-EXTERNAL_LAPTOP_COOLERS_AND_FANS,notebook,active,Sate,,Base Notebook Cooler A-Cp03,4711228421077,,https://http2.mlstatic.com/D_NQ_NP_613193-MLU78207915745_082024-F.jpg,base notebook,1,2026-05-03,2026-05-02 22:15:52.674 -0300,mercado_livre_products_raw_202605041308.csv
MLB50498765,Carregador USB C de 65W C: Computador,carregador usb c 65w c computador,MLB-LAPTOP_CHARGERS,cabo,active,HBONY,,Otros,619185251109,Preto,https://http2.mlstatic.com/D_NQ_NP_674950-MLA85213418159_052025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB39786544,Módulo de carregador USB duplo C + C 220v Branco 5a Cambre,modulo carregador usb duplo c c 220v branco 5a cambre,MLB-ELECTRICAL_OUTLETS,cabo,active,Cambre,Siglo21/Siglo22/Bauhaus,7963,210696307,Branco,https://http2.mlstatic.com/D_NQ_NP_813228-MLU78686944293_082024-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB62458505,"Carregador USB para carro, 6 portas, rápido, 65 W, adaptado",carregador usb carro 6 portas rapido 65 w adaptado,MLB-USB_HUBS,cabo,active,Utik,,ICH-08,,,https://http2.mlstatic.com/D_NQ_NP_797034-MLA98743247536_112025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB64522967,"Bloco de Carregador USB C de 185 W, 6 Portas, Estação de Carregamento USB C GaN com 3 USB C e 3 USB A PD Rápido Carregador de Parede USB C para MacBook Pro/Air iPad Pro iPhone 15 14 13 12 11 iPad...",bloco carregador usb c 185 w 6 portas estacao carregamento usb c gan 3 usb c 3 usb,MLB-USB_HUBS,cabo,active,Fokynux,,,787313209336,,https://http2.mlstatic.com/D_NQ_NP_714030-MLA104664288634_012026-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB41636466,Módulo Tomada Carregador Usb-c 2a Bivolt Infinit Margirius,modulo tomada carregador usb c 2a bivolt infinit margirius,MLB-ELECTRICAL_OUTLETS,cabo,active,MarGirius,Infiniti,22393,7890428223937,Branco,https://http2.mlstatic.com/D_NQ_NP_982733-MLA99954035595_112025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB28930247,Carregador USB C de 3 m - rosa,carregador usb c 3 m rosa,MLB-DATA_CABLES_AND_ADAPTERS,cabo,active,Mumuso,,7910121723,6972710121723,,https://http2.mlstatic.com/D_NQ_NP_647651-MLU74087869794_012024-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
